protocol_version,activity,armor_material,attribute,attributes,banner_pattern,biome,biome_source,biome_source_type,block_entity_type,block,block_placer_types,block_predicate_type,block_predicate_types,block_states,block_type,blockstate_provider_type,blockstate_provider_types,carver,cat_variant,chat_type,chunk_generator,chunk_generator_type,chunk_status,command_argument_type,condition,consume_effect_type,creative_mode_tab,custom_stat,data_component_type,decorated_pot_pattern,decorated_pot_patterns,decorator,density_function_type,density_function_types,dimension_type,enchantment_effect_component_type,enchantment_entity_effect_type,enchantment_level_based_value_type,enchantment_location_based_effect_type,enchantment,enchantment_provider_type,enchantment_value_effect_type,entity_event,entity_sub_predicate_type,entity_sync_data,entity_type,feature,feature_size_type,feature_size_types,float_provider_type,float_provider_types,fluid,foliage_placer_type,foliage_placer_types,frog_variant,game_event,height_provider_type,height_provider_types,instrument,int_provider_type,int_provider_types,item,item_sub_predicate_type,level_event,loot_condition_type,loot_function_type,loot_nbt_provider_type,loot_number_provider_type,loot_pool_entry_type,loot_score_provider_type,map_decoration_type,material_condition,material_rule,memory_module_type,menu,mob_effect,motive,number_format_type,painting_variant,particle_type,placement_modifier_type,placement_modifiers,point_of_interest_type,pool_alias_binding_type,pos_rule_test,pose,position_source_type,potion,protocol,recipe_serializer,recipe_type,registry,root_placer_type,root_placer_types,rule_block_entity_modifier,rule,rule_test,schedule,sensor_type,sound_event,stat_type,structure_feature,structure_piece,structure_placement,structure_placement_type,structure_pool_element,structure_processor,structure_type,structure_types,sync_entity_data_type,tree_decorator_type,tree_decorator_types,trigger_types,trunk_placer_type,trunk_placer_types,villager_profession,villager_type,recipe_display,slot_display
766,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742015,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742014,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742013,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742012,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742011,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742010,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742009,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742009,1073742006,1073741957,1073742009,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742008,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742004,1073742006,1073741957,1073742006,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742008,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742006,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742006,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742006,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073742006,-1,-1,1073742006,1073742006,1073742006,1073742006,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742006,1073742004,1073742006,1073741957,1073742006,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073742006,-1,1073741989,1073741904,1073742006,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742006,1073742006,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742006,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742005,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742005,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742005,-1,-1,1073741955,1073741847,1073742005,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742002,1073742005,1073742004,1073742001,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742004,1073742004,1073741997,1073741957,1073742005,1073741830,1073742005,719,1073741830,1073742005,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742004,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742002,1073742000,1073741951,721,1073742005,1073741931,-1,1073741951,-1,498,498,1073741993,1073742005,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073742005,1073741943,-1,498,498,-1,-1
1073742004,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073742004,-1,1073741931,-1,1073742004,1073742004,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742003,-1,-1,1073741955,1073741847,1073742003,-1,1073742004,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742002,1073742004,1073742004,1073742001,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742004,1073742004,1073741997,1073741957,1073742004,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742004,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742002,1073742000,1073741951,721,1073742004,1073741931,-1,1073741951,-1,498,498,1073741993,1073742004,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742004,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073742003,1073741899,1073741999,1073742000,-1,-1,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073742003,-1,-1,1073741955,1073741847,1073742003,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742002,-1,1073742003,1073742001,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742001,-1,1073741997,1073741957,1073742002,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742000,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742002,1073742000,1073741951,721,1073742003,1073741931,-1,1073741951,-1,498,498,1073741993,1073742002,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073742003,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073742002,1073741899,1073741999,1073742000,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,1073742002,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742002,-1,1073742002,1073742001,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742001,-1,1073741997,1073741957,1073742002,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742000,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,1073742002,1073742000,1073741951,721,1073742002,1073741931,-1,1073741951,-1,498,498,1073741993,1073742002,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073742001,1073741899,1073741999,1073742000,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742000,-1,1073742001,1073742001,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742001,-1,1073741997,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742000,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073742000,1073741951,721,1073741997,1073741931,-1,1073741951,-1,498,498,1073741993,1073742001,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073742000,1073741899,1073741999,1073742000,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073742000,-1,1073742000,1073742000,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073742000,-1,1073741997,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073742000,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073742000,1073741951,721,1073741997,1073741931,-1,1073741951,-1,498,498,1073741993,1073742000,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741999,1073741899,1073741999,1073741995,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073741943,-1,1073741997,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741997,-1,1073741997,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741997,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741997,1073741951,721,1073741997,1073741931,-1,1073741951,-1,498,498,1073741993,1073741997,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741997,1073741899,1073741997,1073741995,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073741943,-1,1073741997,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741997,-1,1073741997,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741997,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741997,1073741951,721,1073741997,1073741931,-1,1073741951,-1,498,498,1073741993,1073741997,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741997,1073741899,1073741997,1073741995,-1,1073741907,-1,1073741865,-1,1073741997,1073741997,-1,1073741931,-1,1073741997,1073741997,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073741943,-1,1073741997,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741997,-1,1073741997,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741997,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741997,1073741951,721,1073741997,1073741931,-1,1073741951,-1,498,498,1073741993,1073741997,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741996,1073741899,-1,1073741995,-1,1073741907,-1,1073741865,-1,1073741986,1073741988,-1,1073741931,-1,1073741988,1073741987,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073741943,-1,1073741993,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741993,-1,1073741996,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741996,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741995,1073741951,721,1073741987,1073741931,-1,1073741951,-1,498,498,1073741993,1073741993,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741995,1073741899,-1,1073741995,-1,1073741907,-1,1073741865,-1,1073741986,1073741988,-1,1073741931,-1,1073741988,1073741987,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741995,-1,-1,1073741943,-1,1073741993,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741993,-1,1073741993,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741986,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741995,1073741951,721,1073741987,1073741931,-1,1073741951,-1,498,498,1073741993,1073741993,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741995,1073741943,-1,498,498,-1,-1
1073741994,1073741899,-1,1073741993,-1,1073741907,-1,1073741865,-1,1073741986,1073741988,-1,1073741931,-1,1073741988,1073741987,1073741931,-1,1073741867,1073741909,-1,718,-1,1073741955,1073741987,-1,-1,1073741955,1073741847,-1,-1,1073741951,-1,1073741931,-1,-1,-1,-1,-1,-1,1073741899,-1,-1,1073741943,-1,1073741993,1073741993,1073741903,1073741931,-1,1073741931,-1,498,1073741943,-1,1073741902,1073741969,1073741931,-1,1073741907,1073741931,-1,1073741993,-1,1073741993,1073741957,1073741969,1073741830,1073741830,719,1073741830,-1,1073741931,1073741931,1073741993,1073741981,1073741969,-1,1073741989,1073741904,1073741986,1073741931,-1,1073741908,1073741981,708,1073741986,1073741832,498,1073741993,1073741951,721,1073741987,1073741931,-1,1073741951,-1,498,498,1073741993,1073741993,498,-1,740,1073741931,-1,712,1073741951,1073741931,-1,1073741993,1073741931,-1,1073741986,1073741943,-1,498,498,-1,-1
